31	8.47
32	9.41
33	10.1
63	11.9
64	12.6
65	13.1
95	13.6
96	13.8
97	10.7
127	13.7
128	14
129	14.3
159	14
160	14.2
161	14.4
191	16.9
192	17
193	14.5
223	17.2
224	17.4
225	17.6
255	16.9
256	17.1
257	17.2
287	18.7
288	18.5
289	16.6
319	18.5
320	18.9
321	19.1
351	17.9
352	18.3
353	18.3
383	17.4
384	17.3
385	18
415	19.4
416	20
417	20.2
447	19.1
448	19.2
449	19.3
479	20.8
480	20.6
481	19
511	18.7
512	18.8
513	18.9
543	20.6
544	20.7
545	20.9
575	20.8
576	20.9
577	20.6
607	21.5
608	21.8
609	21.4
639	21.3
640	21.5
641	22
671	22.6
672	22.3
673	20.3
703	23.3
704	23.4
705	23.6
735	22.7
736	22.9
737	22.9
767	20.6
768	20.2
769	22.3
799	23.6
800	24
801	23.6
831	23.7
832	23.7
833	23.6
863	23.7
864	23.7
865	23.2
895	23.3
896	23.5
897	23.6
927	23.5
928	23.5
929	24.3
959	24.6
960	24.2
961	23.7
991	23.7
992	23.8
993	24
1023	22.6
1024	22.8
1025	22.4

